campaign_id,customer_id,campaign_name,channel,device_type,send_date,opened,clicked,converted,revenue
CMP859 ,CUSAT5506,Holiday Promo,Email,Mobile,11/23/2024,Yes,Yes,Yes,$798.70 
CMP195 ,CUSAT4582,Holiday Promo,Email,Mobile,8/4/2024,No,No,No,$0.00 
CMP928 ,CUSAT1106,Summer Sale,Email,Desktop,8/17/2024,No,No,No,$0.00 
CMP199 ,CUSAT6881,Holiday Promo,Email,Tablet,2/22/2024,Yes,Yes,Yes,"$1,209.20 "
CMP400 ,CUSAT6925,New Product Launch,Email,Tablet,7/12/2024,Yes,Yes,Yes,$506.40 
CMP987 ,CUSAT2654,Black Friday,Email,Desktop,2/10/2024,Yes,Yes,Yes,$506.40 
CMP818 ,CUSAT2169,New Product Launch,Email,Mobile,4/17/2024,No,No,No,$0.00 
CMP755 ,CUSAT4598,New Product Launch,Email,Tablet,5/18/2024,No,No,No,$0.00 
CMP316 ,CUSAT6155,Holiday Promo,Email,Desktop,7/24/2024,No,No,No,$0.00 
CMP651 ,CUSAT5304,New Product Launch,Email,Mobile,5/6/2024,Yes,No,No,$0.00 
CMP873 ,CUSAT1771,Summer Sale,Email,Tablet,9/17/2024,No,No,No,$0.00 
CMP579 ,CUSAT9669,Holiday Promo,Email,Tablet,7/16/2024,Yes,Yes,Yes,$413.70 
CMP261 ,CUSAT8433,Summer Sale,Email,Mobile,2/27/2024,Yes,Yes,Yes,$696.80 
CMP303 ,CUSAT3504,Holiday Promo,Email,Mobile,11/23/2024,Yes,Yes,No,$0.00 
CMP471 ,CUSAT6038,Holiday Promo,Email,Mobile,9/7/2024,Yes,No,No,$0.00 
CMP231 ,CUSAT8787,Black Friday,Email,Desktop,9/29/2024,Yes,No,No,$0.00 
CMP806 ,CUSAT4295,New Product Launch,Email,Desktop,10/3/2024,No,No,No,$0.00 
CMP165 ,CUSAT6539,Summer Sale,Email,Mobile,3/2/2024,Yes,Yes,Yes,$725.70 
CMP132 ,CUSAT6413,Summer Sale,Email,Desktop,4/27/2024,No,No,No,$0.00 
CMP348 ,CUSAT8749,Black Friday,Email,Mobile,10/19/2024,Yes,Yes,No,$0.00 
CMP846 ,CUSAT1887,New Product Launch,Email,Mobile,7/29/2024,Yes,Yes,No,$0.00 
CMP559 ,CUSAT3296,Black Friday,Email,Desktop,4/8/2024,No,No,No,$0.00 
CMP767 ,CUSAT9856,Summer Sale,Email,Tablet,10/8/2024,No,No,No,$0.00 
CMP510 ,CUSAT1960,Summer Sale,Email,Mobile,9/3/2024,Yes,Yes,Yes,$30.10 
CMP848 ,CUSAT8973,Summer Sale,Email,Desktop,8/4/2024,Yes,Yes,Yes,$382.30 
CMP158 ,CUSAT1821,New Product Launch,Email,Mobile,2/1/2024,No,No,No,$0.00 
CMP170 ,CUSAT2113,New Product Launch,Email,Desktop,2/11/2024,No,No,No,$0.00 
CMP183 ,CUSAT7868,New Product Launch,Email,Desktop,10/31/2024,Yes,No,No,$0.00 
CMP760 ,CUSAT5915,Black Friday,Email,Tablet,7/21/2024,Yes,No,No,$0.00 
CMP175 ,CUSAT9808,Holiday Promo,Email,Mobile,10/15/2024,Yes,No,No,$0.00 
CMP953 ,CUSAT9900,New Product Launch,Email,Mobile,5/25/2024,Yes,Yes,Yes,$359.30 
CMP999 ,CUSAT3200,Holiday Promo,Email,Mobile,12/5/2024,No,No,No,$0.00 
CMP451 ,CUSAT4335,New Product Launch,Email,Mobile,11/5/2024,Yes,Yes,Yes,$594.60 
