campaign_id,customer_id,campaign_name,channel,device_type,send_date,opened,clicked,converted,revenue_usd
CMP859 ,CUST5506,Holiday Promo,email,mobile ,11/23/2024,,Yes,,159.74
CMP195 ,CUST4582,Holiday Promo,Email,Moble,8/4/2024,,no,No,
CMP928 ,CUST1106,SUMMER SALE, Email,Desktop,8/17/2024,No,No,yes ,171.82
CMP199 ,CUST6881,Holiday  Promo,EMAIL ,tablet ,2/22/2024,no ,,Yes,241.84
CMP400 ,CUST6925,New Product Launch,email,Tablet,7/12/2024,Yes,No,yes ,101.27
CMP987 ,CUST2654,Black Friday,EMAIL ,desktop,2/10/2024,No, yes ,yes ,101.27
CMP818 ,CUST2169,New Product Launch,email,Moble,4/17/2024,No,no, no,246.34
CMP755 ,CUST4598,New product launch,EMAIL ,tablet ,5/18/2024,No,Yes,yes ,181.39
CMP316 ,CUST6155,Holiday Promo, Email,desktop,7/24/2024,No, yes ,No,82.44
CMP651 ,CUST5304, new product launch , Email,Moble,5/6/2024, yes,No,No,163.4
CMP873 ,CUST1771, summer sale,email,Tablet,9/17/2024,no ,,Yes,82.93
CMP579 ,CUST9669,holiday promo ,Email,Tablet,7/16/2024,, yes ,yes ,82.74
CMP261 ,CUST8433,Summer Sale,EMAIL ,Moble,2/27/2024,,Yes,yes ,139.36
CMP303 ,CUST3504,Holiday  Promo,email,Moble,11/23/2024,Yes,,yes ,0
CMP471 ,CUST6038,Holiday Promo,Email,mobile ,9/7/2024,Yes,no,Yes,
CMP231 ,CUST8787, black friday,email,Desktop,9/29/2024,,no,No,75.02
CMP806 ,CUST4295, new product launch ,EMAIL ,desktop,10/3/2024,no ,, no,38.97
CMP165 ,CUST6539,Summer Sale,email,Moble,3/2/2024,Yes,Yes,Yes,145.14
CMP132 ,CUST6413, summer sale,email,Desktop,4/27/2024,No,,No,47.36
CMP348 ,CUST8749,Black Friday,email,Mobile,10/19/2024,no , yes , no,7.02
CMP846 ,CUST1887,New product launch,Email,Mobile,7/29/2024, yes,Yes,No,237.25
CMP559 ,CUST3296,Black Friday,email,Desktop,4/8/2024,No,Yes, no,101.94
CMP767 ,CUST9856,Summer Sale,Email,tablet ,10/8/2024,No,no, no,125.4
CMP510 ,CUST1960,SUMMER SALE, Email,Mobile,9/3/2024, yes,no,yes ,6.02
CMP848 ,CUST8973,SUMMER SALE,email,Desktop,8/4/2024,Yes,,,76.45
CMP158 ,CUST1821,New Product Launch, Email,Moble,2/1/2024,No,Yes,,128.87
CMP170 ,CUST2113,New product launch,email,desktop,2/11/2024,,No,,27.92
CMP183 ,CUST7868,New product launch,EMAIL ,Desktop,10/31/2024, yes,No,yes ,
CMP760 ,CUST5915,Black friday,EMAIL ,tablet ,7/21/2024,Yes,no,,71.95
CMP175 ,CUST9808,Holiday Promo,EMAIL ,mobile ,10/15/2024,Yes,No,yes ,96.66
CMP953 ,CUST9900, new product launch ,EMAIL ,Moble,5/25/2024,Yes,,yes ,71.86
CMP999 ,CUST3200,holiday promo ,Email,Mobile,12/5/2024,No, yes ,yes ,268.18
CMP451 ,CUST4335,New product launch,EMAIL ,Moble,11/5/2024, yes,Yes,Yes,118.92
CMP383 ,CUST1722,Summer Sale,EMAIL ,tablet ,11/20/2024, yes,No, no,35.38
CMP674 ,CUST1158, summer sale,Email,Tablet,10/9/2024,,Yes,yes ,185.8
CMP540 ,CUST3088,Summer Sale,EMAIL ,Desktop,10/25/2024, yes,No,No,22.33
CMP898 ,CUST7658,New Product Launch,email,mobile ,12/7/2024,No,no,Yes,136.71
CMP440 ,CUST7745,New product launch,email,Desktop,4/1/2024,Yes,no,Yes,0
CMP936 ,CUST8541,Holiday  Promo,EMAIL ,tablet ,8/28/2024,No,Yes,No,13.75
CMP985 ,CUST2137,holiday promo ,EMAIL ,Tablet,7/23/2024,no ,,yes ,135.75
CMP367 ,CUST3925,New Product Launch,EMAIL ,Mobile,1/15/2024,,no,yes ,179.08
CMP623 ,CUST2894,Black Friday,email,Desktop,6/9/2024,no ,Yes,,133.71
CMP859 ,CUST4228,Holiday  Promo, Email,Mobile,10/2/2024,, yes ,Yes,110.75
CMP782 ,CUST7691,Holiday  Promo, Email,Tablet,6/2/2024,,No,No,95.91
CMP488 ,CUST3851,New Product Launch,EMAIL ,desktop,8/3/2024,Yes, yes ,yes ,1.72
CMP693 ,CUST6279,Black friday, Email,desktop,4/17/2024,,no,No,62.41
CMP627 ,CUST6491, summer sale,email,Tablet,12/3/2024,No,No,No,83.15
CMP586 ,CUST2193,Black friday, Email,Tablet,1/13/2024,no ,no, no,
CMP804 ,CUST1090, summer sale, Email,mobile ,5/4/2024,,no,Yes,147.49
CMP968 ,CUST2988,Black friday,email,tablet ,10/12/2024,,,,0
CMP553 ,CUST9270,Black Friday, Email,mobile ,6/11/2024,no , yes ,No,145.93
CMP896 ,CUST9540,Black friday,email,Desktop,11/22/2024,Yes, yes ,No,89.19
CMP653 ,CUST2320,SUMMER SALE,email,mobile ,5/19/2024,No,No,Yes,65.85
CMP655 ,CUST8633,Black Friday,Email,mobile ,7/31/2024,no ,,Yes,168.93
CMP106 ,CUST6763,holiday promo , Email,tablet ,10/21/2024,,,,202.48
CMP379 ,CUST8140,Black friday,Email,desktop,4/22/2024,no ,No, no,194.5
CMP646 ,CUST1441,Black Friday,Email,Mobile,3/6/2024,No,no,No,52.86
CMP435 ,CUST4467,Black friday,EMAIL ,Desktop,1/26/2024, yes,no,yes ,95.26
CMP867 ,CUST9837,Summer Sale,EMAIL ,mobile ,2/11/2024,Yes,Yes,No,146.5
CMP736 ,CUST3496,Holiday Promo,email,desktop,4/12/2024,,No, no,198.04
CMP477 ,CUST3749,New Product Launch,Email,tablet ,12/24/2024, yes,Yes,,81.67
CMP689 ,CUST7149,Black Friday,email,Mobile,1/14/2024,Yes, yes ,,105.15
CMP679 ,CUST1672,Holiday  Promo, Email,Tablet,3/2/2024,Yes,,yes ,31.49
CMP942 ,CUST9031, summer sale, Email,Desktop,1/7/2024,No,no,No,24.3
CMP376 ,CUST9817,Black friday, Email,desktop,9/24/2024, yes,No,Yes,185
CMP349 ,CUST8613,New Product Launch, Email,Desktop,5/22/2024,no , yes ,No,228.5
CMP916 ,CUST5232,Holiday  Promo,EMAIL ,Moble,9/6/2024,,Yes,,114.24
CMP837 ,CUST7658,Black friday,email,Tablet,4/7/2024,no ,no,Yes,200.28
CMP514 ,CUST4986,holiday promo ,EMAIL ,desktop,2/17/2024,, yes , no,148.93
CMP819 ,CUST8434,holiday promo ,EMAIL ,Desktop,10/8/2024,Yes,No,yes ,68.39
CMP880 ,CUST4033,Holiday Promo,email,Tablet,3/2/2024, yes,,,148.91
CMP202 ,CUST4180,holiday promo ,email,Desktop,11/1/2024, yes,Yes,,243.04
CMP155 ,CUST5786, new product launch ,email,Tablet,3/5/2024,Yes,Yes,,117.13
CMP551 ,CUST6582,SUMMER SALE,Email,Desktop,5/25/2024,Yes,Yes, no,245.17
CMP744 ,CUST1878,SUMMER SALE,email,tablet ,9/8/2024,Yes,No,Yes,0
CMP720 ,CUST4697, black friday, Email,desktop,10/12/2024, yes,, no,185.75
CMP161 ,CUST2625,Holiday Promo,email,Desktop,6/5/2024,No,No,No,126.96
CMP102 ,CUST7693,Black friday, Email,Desktop,10/9/2024,No, yes ,yes ,96.08
CMP172 ,CUST4824,holiday promo ,email,desktop,12/25/2024,,No,No,127.34
CMP173 ,CUST1977,SUMMER SALE,EMAIL ,Moble,5/16/2024,no ,Yes, no,0
CMP512 ,CUST5460, black friday, Email,desktop,12/18/2024,,Yes, no,102.43
CMP126 ,CUST2496,Holiday Promo,Email,tablet ,6/14/2024,,Yes,No,148.57
CMP552 ,CUST5557,SUMMER SALE, Email,Tablet,8/28/2024,Yes,no,yes ,238.23
CMP786 ,CUST2713,SUMMER SALE,EMAIL ,desktop,7/28/2024, yes,no,,78.54
CMP422 ,CUST5135,Holiday  Promo,Email,tablet ,1/19/2024,,Yes,,55.32
CMP292 ,CUST9494,Holiday  Promo, Email,Tablet,8/24/2024,Yes,No,yes ,79.86
CMP394 ,CUST8178, new product launch , Email,Mobile,10/8/2024,,No,No,193.23
CMP665 ,CUST7684, summer sale,email,tablet ,6/8/2024,no ,Yes,No,146.3
CMP398 ,CUST9337, new product launch ,EMAIL ,desktop,9/12/2024,no ,No, no,77.62
CMP295 ,CUST9327, new product launch ,email,tablet ,10/9/2024, yes,no,yes ,161.06
CMP102 ,CUST5634, new product launch ,EMAIL ,tablet ,9/16/2024,No,no,,127.77
CMP665 ,CUST9903,Black Friday, Email,Desktop,9/4/2024,No,, no,197.49
CMP520 ,CUST1715,Holiday  Promo, Email,Tablet,4/29/2024,no ,No, no,63.84
CMP704 ,CUST6439, summer sale, Email,Mobile,1/19/2024,no ,Yes,No,93.79
CMP258 ,CUST2225,Black friday,EMAIL ,Desktop,7/28/2024,Yes, yes ,,88.63
CMP741 ,CUST8994, black friday,Email,Moble,7/13/2024,No, yes ,No,2.92
CMP200 ,CUST2646,Black friday,email,Tablet,2/16/2024,Yes,Yes,yes ,143.69
CMP483 ,CUST8056,SUMMER SALE,email,Moble,1/29/2024,,No,No,140.88
CMP991 ,CUST7267,New Product Launch,email,desktop,3/30/2024,No,no,yes ,120.41
